ID_NUMBER,ACTIVITY_LOCATION,ENFORCEMENT_IDENTIFIER,ENFORCEMENT_TYPE,ENFORCEMENT_DESC,ENFORCEMENT_AGENCY,ENFORCEMENT_ACTION_DATE,PMP_AMOUNT,FMP_AMOUNT,FSC_AMOUNT,SCR_AMOUNT
ALD000828848,AL,APT,HQ120,WRITTEN INFORMAL ,E  ,02/11/1986,,,,
ALD000828848,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/04/1998,,,,
ALD001221902,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/02/1988,,,,
ALD001221902,AL,1,HQ120,WRITTEN INFORMAL ,S  ,01/28/2013,,,,
ALD001221902,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/04/1986,,,,
ALD001221902,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/21/1991,,,,
ALD001221902,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/30/1993,,,,
ALD001221902,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/22/1994,,,,
ALD001221902,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/17/1999,,,,
ALD001221902,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/12/2000,,,,
ALD001817295,AL,5,HQ120,WRITTEN INFORMAL ,S  ,04/28/1987,,,,
ALD002166338,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/16/1995,,,,
ALD002166338,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/21/1998,,,,
ALD002166338,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/19/1999,,,,
ALD002466357,AL,2,HQ120,WRITTEN INFORMAL ,S  ,07/06/1989,,,,
ALD002904506,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/14/1991,,,,
ALD002904506,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/30/1997,,,,
ALD002904506,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/18/1998,,,,
ALD002904506,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/21/1999,,,,
ALD002982858,AL,1,HQ120,WRITTEN INFORMAL ,S  ,02/12/2001,,,,
ALD002982858,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/24/1997,,,,
ALD003276854,AL,2,HQ120,WRITTEN INFORMAL ,S  ,03/03/1989,,,,
ALD003301884,AL,1,AL312,FINAL DETERMINATION-CONSENT ORDER EXECUTED,S  ,07/14/1998,,,,
ALD003301884,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,03/08/2004,,,,
ALD003301884,AL,4,HQ210,INITIAL 3008(A) COMPLIANCE ,E  ,06/29/1985,29500,29500,,
ALD003326444,AL,2,HQ120,WRITTEN INFORMAL ,S  ,07/18/1989,,,,
ALD003396850,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,11/16/2000,,,,
ALD003396983,AL,1,HQ120,WRITTEN INFORMAL ,S  ,01/13/2010,,,,
ALD003396983,AL,1,AL115,WARNING LETTER,S  ,01/26/2018,,,,
ALD003397569,AL,1,AL115,WARNING LETTER,S  ,09/11/2007,,,,
ALD003397569,AL,1,AL115,WARNING LETTER,S  ,01/19/2011,,,,
ALD003397569,AL,APT,HQ820,EPA TO STATE ADMINISTRATIVE REFERRAL,E  ,03/10/2000,,,,
ALD003397643,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/20/1989,,,,
ALD003397643,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/04/1997,,,,
ALD003397742,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/09/1996,,,,
ALD003398377,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/15/1987,,,,
ALD003398575,AL,1,AL115,WARNING LETTER,S  ,10/09/2009,,,,
ALD003796133,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/19/1997,,,,
ALD004000790,AL,7,HQ120,WRITTEN INFORMAL ,S  ,05/22/1987,,,,
ALD004000790,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/04/1997,,,,
ALD004001731,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/09/2012,,,,
ALD004001731,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/05/1994,,,,
ALD004002077,AL,JLB,HQ210,INITIAL 3008(A) COMPLIANCE ,E  ,03/31/1998,225256,,,
ALD004003620,AL,1,HQ120,WRITTEN INFORMAL ,S  ,11/03/1988,,,,
ALD004003620,AL,2,HQ120,WRITTEN INFORMAL ,S  ,09/26/1989,,,,
ALD004003620,AL,4,HQ120,WRITTEN INFORMAL ,S  ,08/14/1987,,,,
ALD004009320,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/02/1992,,,,
ALD004009320,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/13/1993,,,,
ALD004009320,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/14/1994,,,,
ALD004009320,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/18/2000,,,,
ALD004009403,AL,1,AL115,WARNING LETTER,S  ,05/29/2009,,,,
ALD004009825,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/30/1997,,,,
ALD004010120,AL,1,HQ120,WRITTEN INFORMAL ,S  ,10/01/1987,,,,
ALD004010120,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/14/1992,,,,
ALD004011342,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/22/2004,,,,
ALD004012050,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,04/23/2013,,5000,,
ALD004014973,AL,3,HQ120,WRITTEN INFORMAL ,S  ,09/03/1986,,,,
ALD004014973,AL,6,HQ120,WRITTEN INFORMAL ,S  ,03/07/1989,,,,
ALD004014973,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/26/1995,,,,
ALD004014973,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/19/1997,,,,
ALD004017869,AL,1,AL115,WARNING LETTER,S  ,11/16/2009,,,,
ALD004017901,AL,1,AL115,WARNING LETTER,S  ,09/11/2012,,,,
ALD004018354,AL,1,AL115,WARNING LETTER,S  ,09/03/2015,,,,
ALD004018354,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/17/2000,,,,
ALD004018800,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,09/18/2013,,240000,,
ALD004019048,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/25/2001,,,,
ALD004019048,AL,1,AL343,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,02/12/2002,,,,
ALD004019048,AL,5,HQ210,INITIAL 3008(A) COMPLIANCE ,E  ,08/15/1985,,,,
ALD004019048,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/07/1991,,,,
ALD004019642,AL,1,AL115,WARNING LETTER,S  ,01/10/2008,,,,
ALD004019691,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/03/1993,,,,
ALD004019691,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/29/1998,,,,
ALD004020855,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,07/29/2010,,15025,,
ALD004020855,AL,3,HQ120,WRITTEN INFORMAL ,S  ,07/16/1987,,,,
ALD004020855,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/30/1995,,,,
ALD004020921,AL,1,AL115,WARNING LETTER,S  ,08/21/2006,,,,
ALD004022240,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,07/11/2000,,50000,,
ALD004022448,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/25/1994,,,,
ALD004023164,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/01/1997,,,,
ALD004023180,AL,1,AL115,WARNING LETTER,S  ,11/27/2012,,,,
ALD004023180,AL,1,AL115,WARNING LETTER,S  ,11/04/2016,,,,
ALD004023180,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/15/1994,,,,
ALD004025235,AL,8,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,04/09/1987,,,,
ALD004025235,AL,13,HQ120,WRITTEN INFORMAL ,S  ,09/15/1989,,,,
ALD004025235,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/10/1997,,,,
ALD004028148,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,10/23/2002,,,,
ALD004401717,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/20/1998,,,,
ALD004488169,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/26/1989,,,,
ALD006320774,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/05/2004,,,,
ALD006320774,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/21/1999,,,,
ALD006320774,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/09/1999,,,,
ALD006900526,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,10/25/2005,,,,
ALD006901250,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/14/1998,,,,
ALD008149908,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/20/1998,,,,
ALD008150286,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/22/1995,,,,
ALD008150286,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/28/1997,,,,
ALD008150617,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/06/1992,,,,
ALD008161176,AL,1,AL115,WARNING LETTER,S  ,01/22/2007,,,,
ALD008161176,AL,JLB,HQ820,EPA TO STATE ADMINISTRATIVE REFERRAL,E  ,08/11/1997,,,,
ALD008161176,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/11/1986,,,,
ALD008161176,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/16/1988,,,,
ALD008161416,AL,1,HQ120,WRITTEN INFORMAL ,S  ,09/08/2000,,,,
ALD008161416,AL,1,AL115,WARNING LETTER,S  ,09/18/2007,,,,
ALD008161416,AL,1,AL115,WARNING LETTER,S  ,08/21/2012,,,,
ALD008161416,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/25/1994,,,,
ALD008161416,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/25/1995,,,,
ALD008161416,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/11/1997,,,,
ALD008161416,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/29/1998,,,,
ALD008161861,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/08/1997,,,,
ALD008163115,AL,1,AL115,WARNING LETTER,S  ,06/28/2012,,,,
ALD008163388,AL,1,AL115,WARNING LETTER,S  ,03/20/2008,,,,
ALD008163388,AL,2,HQ120,WRITTEN INFORMAL ,S  ,09/30/1988,,,,
ALD008171522,AL,1,HQ120,WRITTEN INFORMAL ,S  ,08/27/2009,,,,
ALD008175408,AL,1,AL115,WARNING LETTER,S  ,08/03/2006,,,,
ALD008175408,AL,1,AL115,WARNING LETTER,S  ,06/26/2012,,,,
ALD008175408,AL,1,AL115,WARNING LETTER,S  ,09/28/2016,,,,
ALD008175408,AL,3,HQ120,WRITTEN INFORMAL ,S  ,04/25/1989,,,,
ALD008180572,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,08/07/2002,,,,
ALD008180572,AL,3,HQ120,WRITTEN INFORMAL ,S  ,05/19/1988,,,,
ALD008185407,AL,6,HQ210,INITIAL 3008(A) COMPLIANCE ,E  ,07/15/1985,35000,35000,,
ALD008185407,AL,7,HQ120,WRITTEN INFORMAL ,E  ,08/17/1984,,,,
ALD009825944,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/02/1996,,,,
ALD010394021,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,08/26/2003,,,,
ALD010394021,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/22/1995,,,,
ALD012726642,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/22/1997,,,,
ALD020852422,AL,1,AL115,WARNING LETTER,S  ,12/01/2006,,,,
ALD020852422,AL,APT,HQ210,INITIAL 3008(A) COMPLIANCE ,E  ,08/11/1991,8560,,,
ALD020852422,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/12/1991,,,,
ALD020852422,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,08/07/1991,,,,
ALD020852422,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,09/20/1991,25000,25000,,
ALD020852422,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/28/1992,,,,
ALD020852422,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,06/03/1992,,4000,,
ALD020852422,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/18/1994,,,,
ALD020852422,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/22/1995,,,,
ALD020852422,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/08/1997,,,,
ALD025391624,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/21/1996,,,,
ALD031482037,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/30/2007,,,,
ALD031487085,AL,1,HQ120,WRITTEN INFORMAL ,S  ,12/17/1990,,,,
ALD031490501,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/20/1998,,,,
ALD031494404,AL,1,HQ120,WRITTEN INFORMAL ,S  ,02/23/1987,,,,
ALD031499833,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,08/24/1994,250000,250000,,
ALD031499833,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/14/1994,,,,
ALD031505787,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/09/1996,,,,
ALD031576564,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,08/31/2004,,,,
ALD031612732,AL,1,AL115,WARNING LETTER,S  ,06/20/2018,,,,
ALD031639073,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/10/1991,,,,
ALD034046730,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/05/2001,,,,
ALD034046730,AL,1,HQ120,WRITTEN INFORMAL ,S  ,10/25/2007,,,,
ALD034046730,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/06/1992,,,,
ALD034046730,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/02/1997,,,,
ALD034049387,AL,1,AL115,WARNING LETTER,S  ,10/16/2007,,,,
ALD034058404,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/30/1995,,,,
ALD037484664,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/12/1993,,,,
ALD040653636,AL,1,AL115,WARNING LETTER,S  ,09/12/2008,,,,
ALD041023086,AL,1,AL115,WARNING LETTER,S  ,06/16/2014,,,,
ALD041023086,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/31/1996,,,,
ALD041512187,AL,1,HQ120,WRITTEN INFORMAL ,S  ,10/04/2000,,,,
ALD044496966,AL,3,HQ120,WRITTEN INFORMAL ,S  ,09/29/1988,,,,
ALD044496966,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/15/1991,,,,
ALD045632312,AL,4,HQ120,WRITTEN INFORMAL ,S  ,05/30/1988,,,,
ALD045632312,AL,5,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/07/1989,,,,
ALD045632312,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,03/30/1990,16000,,,
ALD045632312,AL,SFQ,AL835,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,02/10/1994,,,,
ALD045632312,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/02/1996,,,,
ALD046480513,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/18/2003,,,,
ALD046480513,AL,1,HQ120,WRITTEN INFORMAL ,S  ,01/20/2017,,,,
ALD046481032,AL,1,AL115,WARNING LETTER,S  ,12/22/2010,,,,
ALD046481032,AL,5,HQ120,WRITTEN INFORMAL ,S  ,08/08/1988,,,,
ALD046481032,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/20/1998,,,,
ALD046481032,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/20/1999,,,,
ALD046864591,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/02/1996,,,,
ALD047107784,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/08/1999,,,,
ALD047154182,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,03/24/2014,,27100,,
ALD047154182,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/20/1997,,,,
ALD047158266,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,08/04/2006,,,,
ALD047158266,AL,JLB,HQ230,"INITIAL MONITORING,ANALYSIS,TEST ORDER",E  ,09/27/1995,,,,
