ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION
ALD021254503,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,09/09/1991,N  
ALD031482037,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,01/16/1996,N  
ALD031499833,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,12/15/1994,N  
ALD031499833,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,12/22/1994,N  
ALD031499833,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,05/04/1995,N  
ALD033354069,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,06/05/1996,N  
ALD041906173,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,05/27/1992,N  
ALD044075109,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,11/03/1993,N  
ALD044889624,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,04/25/1997,N  
ALD045632312,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,03/06/1991,N  
ALD980846968,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/16/2007,N  
ALR000037978,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/16/2007,Y  
ALD034049387,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/16/2007,Y  
ALR000041087,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/18/2007,Y  
ALR000021618,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/15/2016,Y  
ALD085765808,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,08/18/1995,N  
ALD093179315,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,09/19/1991,N  
ALD093179315,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,08/24/1992,N  
ALD093179315,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,01/12/1994,N  
ALD093179315,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,05/27/1994,N  
ALD093179315,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,06/30/1995,N  
ALD093179315,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,E  ,06/30/1995,N  
ALD095687786,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/07/1994,N  
ALD095704011,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,06/10/1992,N  
ALD133606186,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,09/08/1994,N  
ALD182828350,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,10/27/1993,N  
ALD182828350,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,12/17/1993,N  
ALD980559850,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,02/18/1993,N  
ALD981028798,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,06/11/1992,N  
AL0000107748,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,03/21/1995,N  
AL0000879205,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,E  ,09/24/1996,N  
AL0000998013,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,09/29/1995,N  
AL3640090004,AL,CV3,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,06/11/1997,N  
ALR000057331,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/21/2016,Y  
ALR000058180,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/21/2016,Y  
ALR000058271,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/22/2016,Y  
ALD983184284,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/21/1991,N  
ALD983185422,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/18/1992,N  
ALD983193319,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/18/1993,N  
ALD983193434,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/18/1993,N  
ALD983195512,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/06/1991,N  
ALR000002238,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/06/1995,N  
ALR000003467,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/28/1995,N  
ALR000005090,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/11/1996,N  
ALD041906173,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/31/1991,N  
ALD041906173,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/27/1991,N  
AL0000998013,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,10/05/1994,N  
AL7210020742,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/16/1994,N  
ALD000622464,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/02/1991,N  
ALD000622464,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/12/1994,N  
ALD000622464,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/10/1995,N  
ALD182828350,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/10/1993,N  
ALD980559850,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,10/01/1991,N  
ALD981028798,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/13/1991,N  
ALD981469992,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/23/1992,N  
ALD981469992,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/10/1993,N  
ALD981475601,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/23/1992,N  
ALD983182031,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/23/1991,N  
ALD983182163,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/26/1995,N  
ALD081391492,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/01/1996,N  
ALD085765808,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/28/1991,N  
ALD093179315,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/12/1991,N  
ALD093179315,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/03/1992,N  
ALD093179315,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/14/1992,N  
ALD093179315,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/27/1993,N  
ALD093179315,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/30/1994,N  
ALD093179315,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,E  ,08/31/1994,N  
ALD095687786,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/09/1993,N  
ALD031499833,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/09/1994,N  
ALD033354069,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/26/1996,N  
ALD041906173,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/20/1990,N  
AL0000107748,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,10/27/1993,N  
AL0000879205,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,E  ,04/11/1995,N  
ALD983180597,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/19/1991,N  
ALD983180597,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/23/1991,N  
ALD983182031,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/19/1991,N  
ALD044075109,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/28/1991,N  
ALD044889624,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/12/1995,N  
ALD045632312,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/30/1991,N  
ALD053360897,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/22/1992,N  
ALD053360897,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/09/1992,N  
ALD058036054,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/17/1993,N  
ALD058223371,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/31/1995,N  
ALD067119966,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,E  ,03/12/1992,N  
ALD070513767,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/07/1996,N  
ALD071951628,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/05/1991,N  
ALD077640001,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/14/1991,N  
ALD095704011,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/01/1992,N  
ALD133606186,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/23/1994,N  
ALD182828350,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/22/1993,N  
ALD004011342,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/24/1992,N  
ALD004014973,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/06/1991,N  
ALD004017901,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/05/1991,N  
ALD004019048,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/06/1996,N  
ALD004019485,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/10/1992,N  
ALD004019485,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/11/1992,N  
ALD004023164,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/22/1992,N  
ALD004025235,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/29/1992,N  
ALD004488169,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/01/1991,N  
ALD008161176,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/15/1990,N  
ALD020852422,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/14/1991,N  
ALD020852422,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/18/1991,N  
ALD020852422,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,10/03/1991,N  
ALD021254503,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/13/1991,N  
ALD031482037,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/17/1995,N  
ALD031499833,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/23/1994,N  
ALD031499833,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/09/1994,N  
ALD000622464,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/26/1996,N  
ALD000653303,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/06/1991,N  
ALD000827154,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,E  ,02/03/1994,N  
ALD001221902,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/26/1992,N  
ALD002904506,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/26/1991,N  
ALD002904506,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/26/1991,N  
ALD002904506,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/29/1991,N  
ALD003397478,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/04/1990,N  
ALD003397478,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/17/1991,N  
ALD003397478,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/18/1991,N  
ALD003397478,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/15/1991,N  
ALD003397478,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/20/1991,N  
ALD004002077,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/30/1995,N  
ALD004002077,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/30/1996,N  
ALD004009403,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/07/1991,N  
ALD004009403,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,10/26/1992,N  
ALD981475601,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/24/1993,N  
ALD981867062,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/09/1992,N  
ALD981867062,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/26/1994,N  
ALD981868466,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/12/1991,N  
ALD982097073,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/02/1996,N  
ALD982167678,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/17/1991,N  
ALD983172602,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,10/19/1995,N  
ALD983176405,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/28/1991,N  
ALD983179219,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/30/1991,N  
ALD983179219,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/02/1991,N  
ALD983179219,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/03/1993,N  
ALD983179466,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/22/1991,N  
ALD983179466,AL,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/23/1991,N  
ALR000025692,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/04/2016,Y  
ALD983192881,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/05/2016,N  
ALD983168089,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/04/2016,N  
ALR000044792,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/09/2016,N  
ALR000043356,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/10/2016,Y  
AL0000629469,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/16/2016,Y  
ALD000622464,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,E  ,11/17/2015,Y  
ALD980839112,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/03/2016,N  
ALD044496966,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/03/2016,Y  
ALD004017869,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/02/2016,N  
ALD983192253,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/07/2016,Y  
ALR000006361,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/04/2016,N  
ALR000059295,AL,1,FUI,FOLLOW-UP INSPECTION,S  ,03/01/2016,N  
ALR000025486,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,E  ,02/23/2016,Y  
ALR000054155,AL,1,SNN,NOT A SIGNIFICANT NON-COMPLIER,S  ,04/29/2016,N  
AL3210020027,AL,1,FSD,Facility Self Disclosure,S  ,01/19/2016,Y  
AL3210020027,AL,1,FSD,FACILITY SELF DISCLOSURE,S  ,01/19/2016,Y  
AL3210020027,AL,1,FSD,FACILITY SELF DISCLOSURE,S  ,01/19/2016,Y  
AL3210020027,AL,1,FSD,FACILITY SELF DISCLOSURE,S  ,01/19/2016,Y  
ALD050981687,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,01/25/2016,N  
ALR000038893,AL,1,SNY,SIGNIFICANT NON-COMPLIER,S  ,07/08/2016,N  
ALD000737288,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/14/2016,Y  
ALR000059816,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,04/01/2016,N  
ALR000058180,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/03/2016,N  
ALD983190935,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/29/2016,Y  
ALD983180597,AL,1,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,01/27/2016,N  
ALR000046516,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/09/2016,N  
ALR000056762,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/10/2016,N  
ALD003326444,AL,1,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,04/12/2016,N  
ALD047158266,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/15/2016,N  
ALD052682762,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/15/2016,N  
ALD094476793,AL,1,OAM,OPERATION AND MAINTENANCE INSPECTION,S  ,04/19/2016,N  
ALR000049379,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/14/2016,Y  
ALD067120196,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/09/2016,Y  
ALD983174681,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/10/2016,N  
AL2640090005,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,E  ,01/20/2016,N  
AL6640006668,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,E  ,01/20/2016,N  
ALR000036822,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,06/08/2016,N  
ALR000046417,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/13/2016,Y  
ALD081391492,AL,1,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/01/2016,N  
ALD079474037,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/23/2016,Y  
ALR000048827,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/09/2016,N  
ALR000024190,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/23/2016,N  
ALR000009977,AL,1,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/27/2016,Y  
ALD061137055,AL,1,FSD,Facility Self Disclosure,S  ,02/28/2008,Y  
ALD061137055,AL,1,FSD,FACILITY SELF DISCLOSURE,S  ,02/28/2008,Y  
