ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
ALD000771949,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,11/03/2005,02/09/2006,01/30/2006
AL3210020027,AL,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,12/13/2007,07/31/2008,
ALR000003806,AL,279.C,Standards for Used Oil Generators,S  ,05/17/2006,08/15/2006,08/24/2006
ALD010394021,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,03/14/2006,05/24/2006,05/15/2006
ALD000622464,AL,PCR,Violation of a permit condition or requirement,S  ,04/17/2006,04/03/2008,
ALD095687786,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,09/13/2006,11/27/2006,11/05/2006
ALD079474037,AL,264.E,"Standards for Owners and Operators of HW TSDs: Manifest System, Recordkeeping, a",S  ,08/14/2006,10/23/2006,
AL0001019488,AL,262.A,Standards Applicable to Generators of HW: General,S  ,03/28/2006,08/29/2006,08/29/2006
ALD981023310,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,05/11/2007,10/05/2007,
ALR000038125,AL,262.A,Standards Applicable to Generators of HW: General,S  ,02/23/2006,05/30/2006,05/30/2006
ALR000033852,AL,262.A,Standards Applicable to Generators of HW: General,S  ,11/16/2006,01/22/2007,01/19/2007
ALD983191537,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,01/27/2006,03/27/2008,
ALD982157398,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,10/11/2006,11/01/2006,
ALD982132029,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,09/21/2007,11/26/2007,12/09/2007
ALD055610158,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,05/30/2007,08/06/2007,07/26/2007
ALD981860539,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,05/31/2007,12/20/2007,08/25/2007
ALD981860539,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,05/31/2007,12/20/2007,08/25/2007
ALR000043141,AL,279.C,Standards for Used Oil Generators,S  ,09/14/2007,10/18/2007,12/06/2007
ALD067111450,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/15/2017,03/31/2017,
ALR000044214,AL,279.C,Standards for Used Oil Generators,S  ,04/22/2008,05/09/2008,05/22/2008
ALR000052332,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/01/2017,03/01/2017,
ALR000058271,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,03/22/2016,11/09/2016,11/18/2016
ALR000060020,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/27/2017,05/05/2017,05/29/2017
ALR000050989,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,03/24/2016,03/24/2016,08/22/2016
ALR000005884,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,03/13/2017,05/09/2017,05/17/2017
ALD981922115,AL,262.A,Standards Applicable to Generators of HW: General,S  ,04/21/2010,07/12/2010,07/12/2010
ALD057213811,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,11/23/2009,07/29/2010,07/30/2010
ALD004009403,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,11/16/2010,12/10/2010,12/22/2010
ALD981922115,AL,262.A,Standards Applicable to Generators of HW: General,E  ,04/21/2010,07/12/2010,
ALD982115842,AL,262.A,Standards Applicable to Generators of HW: General,S  ,06/22/2010,06/30/2010,
ALR000047092,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/03/2010,09/29/2010,
AL1800013863,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,08/03/2010,08/26/2010,09/03/2010
ALD057202558,AL,279.C,Standards for Used Oil Generators,S  ,11/23/2010,06/28/2011,07/01/2011
ALD057202558,AL,270.A,EPA Administered Permit Programs: the HW Permit Program General Information,S  ,11/23/2010,06/28/2011,07/01/2011
ALD983190943,AL,279.C,Standards for Used Oil Generators,S  ,09/13/2007,09/13/2007,
ALR000029447,AL,279.C,Standards for Used Oil Generators,S  ,09/12/2007,09/19/2007,
AL4640090011,AL,279.C,Standards for Used Oil Generators,S  ,09/11/2007,10/05/2007,10/25/2007
ALR000046573,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,E  ,04/16/2012,07/02/2012,
ALR000038919,AL,265.J,Interim Status Standards for Owners and Operators of HW TSDs: Tank Systems,E  ,04/18/2012,07/23/2012,
ALD983171638,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,04/09/2012,07/11/2012,06/28/2012
ALD982080855,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,07/27/2005,09/12/2005,09/30/2005
ALR000051250,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/14/2012,06/06/2012,06/14/2012
ALD046479523,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/15/2012,11/19/2012,11/02/2012
ALD046479523,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,05/15/2012,11/19/2012,11/02/2012
ALD050981687,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,05/16/2012,06/13/2012,07/12/2012
ALD009825944,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,05/14/2012,06/19/2012,06/19/2012
ALR000009308,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,04/04/2012,06/14/2012,06/11/2012
ALD077911915,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,03/27/2012,06/22/2012,05/16/2012
ALR000041202,AL,262.A,Standards Applicable to Generators of HW: General,S  ,04/13/2012,09/19/2012,08/09/2012
AL0000879387,AL,279.C,Standards for Used Oil Generators,S  ,03/10/2009,03/10/2009,
ALD054571278,AL,PCR,Violation of a permit condition or requirement,S  ,05/30/2012,08/20/2012,08/13/2012
ALR000038893,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,07/13/2012,08/08/2012,
ALD983192246,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,06/17/2009,07/14/2009,07/16/2009
ALD095687786,AL,273.C,Standards for Universal Waste Management: Standards for Large Quantity Handlers ,S  ,06/09/2009,07/14/2009,07/30/2009
ALD095687786,AL,264.F,Standards for Owners and Operators of HW TSDs: Releases from Solid Waste Managem,S  ,06/09/2009,07/14/2009,07/30/2009
ALR000031559,AL,279.C,Standards for Used Oil Generators,S  ,08/11/2008,08/14/2008,
ALD983193590,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,11/20/2008,01/08/2009,01/09/2009
ALD981028798,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,05/28/2009,07/13/2009,08/12/2009
ALD050981687,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,E  ,07/16/2009,07/17/2009,
ALD000615625,AL,279.C,Standards for Used Oil Generators,S  ,08/28/2009,09/21/2009,09/27/2009
ALD981020761,AL,279.C,Standards for Used Oil Generators,S  ,09/30/2008,12/16/2008,11/30/2008
ALR000043927,AL,262.A,Standards Applicable to Generators of HW: General,S  ,02/19/2008,05/15/2008,
ALR000043927,AL,279.C,Standards for Used Oil Generators,S  ,02/19/2008,05/15/2008,
ALR000013318,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,09/05/2008,10/20/2008,
ALR000032656,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,03/17/2008,07/02/2008,07/18/2008
ALR000042481,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,04/30/2008,06/17/2008,06/29/2008
ALD982144735,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,12/11/2007,11/10/2008,11/11/2008
ALR000057174,AL,262.A,Standards Applicable to Generators of HW: General,S  ,06/17/2014,05/15/2015,
ALD982090789,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,04/21/2014,06/24/2014,07/16/2014
ALD008188708,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,07/16/2014,07/23/2014,
ALR000046417,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/13/2016,07/19/2016,
ALR000009308,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,04/08/2014,05/06/2014,
ALR000050948,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/20/2014,03/24/2014,03/20/2014
ALR000051474,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/15/2014,05/09/2014,05/20/2014
ALD063690705,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/20/2014,04/10/2014,
ALR000000364,AL,261.C,ID and Listing of HW: Characteristics of HW,S  ,01/19/2011,12/13/2011,
ALR000052712,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,02/18/2014,05/20/2014,
ALR000044453,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,E  ,06/08/2011,09/30/2011,
ALR000044453,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,06/08/2011,09/30/2011,
ALR000039578,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,12/12/2007,03/03/2008,
ALR000000612,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/10/2007,02/06/2008,
ALD983180118,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,02/12/2009,04/15/2009,04/30/2009
ALD983168089,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,02/09/2009,04/24/2009,04/30/2009
ALD983180373,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,02/13/2008,12/03/2008,
ALD981932882,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,04/08/2008,06/26/2008,07/30/2008
ALD981932882,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,04/08/2008,06/26/2008,07/30/2008
ALR000001636,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,06/10/2009,07/09/2009,08/03/2009
ALR000038323,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,06/18/2008,07/30/2008,07/30/2008
ALD982098311,AL,262.A,Standards Applicable to Generators of HW: General,S  ,07/18/2007,01/07/2008,
ALD983180373,AL,279.C,Standards for Used Oil Generators,S  ,02/13/2008,12/03/2008,
ALD982144735,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,12/11/2007,11/10/2008,02/20/2008
ALR000053470,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,07/27/2016,10/13/2016,10/07/2016
ALR000038893,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,02/25/2016,07/29/2016,
ALD046481032,AL,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,12/13/2010,01/03/2011,01/24/2011
ALD054571278,AL,270.B,EPA Administered Permit Programs: the HW Permit Program Permit Application,S  ,09/30/2016,11/18/2016,
ALR000019182,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,11/08/2016,11/10/2016,
ALR000058271,AL,262.B,Standards Applicable to Generators of HW: Manifest,S  ,03/22/2016,11/09/2016,11/18/2016
ALR000058180,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,03/21/2016,08/03/2016,08/11/2016
ALD059903641,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,07/28/2016,10/26/2016,11/07/2016
ALD003396983,AL,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,12/16/2009,08/03/2010,02/17/2010
ALD982097073,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,11/29/2010,01/05/2011,01/05/2011
ALD004017901,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,11/20/2009,01/08/2010,12/20/2009
ALD981020894,AL,PCR,Violation of a permit condition or requirement,S  ,12/17/2008,07/06/2009,03/27/2009
ALD982167108,AL,262.A,Standards Applicable to Generators of HW: General,S  ,03/18/2009,09/02/2009,06/29/2009
ALD981867062,AL,279.C,Standards for Used Oil Generators,S  ,12/08/2009,01/07/2010,01/07/2010
ALD981023229,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,09/18/2009,10/16/2009,10/23/2009
ALR000042911,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,05/18/2009,07/07/2009,07/08/2009
ALD004017901,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,09/12/2007,09/22/2007,01/25/2008
ALR000037572,AL,279.C,Standards for Used Oil Generators,S  ,02/16/2011,03/04/2011,03/18/2011
ALR000044735,AL,279.C,Standards for Used Oil Generators,S  ,08/25/2010,12/06/2010,11/12/2010
ALR000041194,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,03/20/2009,04/20/2009,04/20/2009
ALD981923659,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,12/15/2010,02/21/2011,02/20/2011
ALD004020855,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,02/24/2010,07/29/2010,
ALD008180572,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,06/09/2009,09/25/2009,08/23/2009
ALR000030254,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,08/12/2008,08/29/2008,09/12/2008
ALR000043273,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,07/17/2009,10/27/2009,
ALD084948157,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,04/07/2011,01/06/2012,12/22/2011
ALD095687679,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,E  ,10/30/2012,04/02/2014,04/02/2014
ALD983187873,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,E  ,10/31/2012,,
ALR000038349,AL,279.C,Standards for Used Oil Generators,S  ,01/04/2018,02/15/2018,
ALR000001552,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,09/16/2015,11/30/2015,
ALD072099690,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,09/22/2011,03/22/2012,03/05/2012
ALD075045575,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,03/22/2018,03/28/2018,
ALR000051490,AL,279.C,Standards for Used Oil Generators,S  ,06/18/2012,09/18/2012,
ALD981756968,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,10/18/2011,11/16/2011,
ALD000622464,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,E  ,03/12/2018,06/04/2018,
AL3640090004,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,E  ,03/21/2018,04/06/2018,
ALR000050708,AL,279.C,Standards for Used Oil Generators,S  ,01/21/2011,01/25/2011,02/25/2011
ALD079474037,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,11/28/2011,01/24/2012,
ALD084948157,AL,262.A,Standards Applicable to Generators of HW: General,S  ,04/07/2011,01/06/2012,
ALR000049700,AL,262.A,Standards Applicable to Generators of HW: General,S  ,11/29/2011,05/29/2012,
ALD983166042,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,07/27/2011,08/26/2011,08/26/2011
ALD057208712,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,07/26/2011,10/14/2011,10/24/2011
ALD059903641,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,04/12/2012,04/20/2012,
ALD983173899,AL,261.A,ID and Listing of HW: General,S  ,03/01/2012,04/09/2012,03/30/2012
ALR000016683,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,10/18/2011,11/04/2011,
ALR000029454,AL,279.C,Standards for Used Oil Generators,E  ,10/29/2012,11/29/2012,
ALR000051342,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,02/07/2013,02/27/2013,03/07/2013
ALR000053934,AL,279.C,Standards for Used Oil Generators,S  ,01/14/2013,04/05/2013,02/13/2013
AL3210020027,AL,270.A,EPA Administered Permit Programs: the HW Permit Program General Information,S  ,06/22/2010,08/23/2010,
ALR000048975,AL,279.C,Standards for Used Oil Generators,S  ,04/06/2011,06/27/2011,06/10/2011
ALD000608216,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,08/07/2012,08/31/2012,
ALD982097073,AL,270.A,EPA Administered Permit Programs: the HW Permit Program General Information,S  ,11/27/2012,02/21/2013,02/22/2013
ALR000046540,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,05/16/2013,06/04/2013,06/17/2013
ALR000046540,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,05/16/2013,06/04/2013,06/17/2013
ALR000054023,AL,279.C,Standards for Used Oil Generators,S  ,02/07/2013,02/07/2013,03/07/2013
ALR000049379,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,10/17/2012,05/08/2013,
ALR000047407,AL,279.C,Standards for Used Oil Generators,S  ,05/25/2010,06/11/2010,06/24/2010
ALD063671093,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,02/25/2010,05/10/2010,05/10/2010
ALR000015354,AL,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,E  ,11/27/2012,12/21/2012,
ALR000048801,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,08/10/2012,12/07/2012,
ALD094476793,AL,273.C,Standards for Universal Waste Management: Standards for Large Quantity Handlers ,S  ,10/26/2010,12/22/2010,12/23/2010
ALR000009704,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/11/2015,05/21/2015,
ALD981023377,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/11/2015,05/21/2015,
ALD001221902,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,06/02/2015,06/22/2015,07/06/2015
AL3210020027,AL,279.C,Standards for Used Oil Generators,S  ,08/09/2012,09/25/2012,
ALD983166653,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,04/11/2012,12/14/2012,
ALD008163115,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,06/28/2012,07/31/2012,07/30/2012
ALD002166338,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/19/2015,03/16/2015,03/16/2015
AL0000737544,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,E  ,01/13/2015,01/13/2015,
ALR000047878,AL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Fac Stds,S  ,06/18/2012,09/18/2012,09/13/2012
ALR000047878,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,06/18/2012,09/18/2012,09/13/2012
ALD983168089,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,03/23/2016,05/04/2016,05/04/2016
ALR000005298,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,07/17/2012,08/31/2012,09/06/2012
ALD031482037,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,06/05/2015,07/07/2015,07/06/2015
ALR000031997,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/09/2013,06/26/2013,
AL0000057208,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,07/05/2013,10/17/2013,11/03/2013
AL6210020776,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,08/21/2013,09/24/2013,09/30/2013
ALD000771949,AL,PCR,Violation of a permit condition or requirement,S  ,08/24/2015,02/10/2016,
ALR000047746,AL,265.D,Interim Status Standards for Owners and Operators of HW TSDs: Contingency Plan a,S  ,07/23/2013,09/16/2013,10/03/2013
ALD003397569,AL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management,S  ,08/05/2015,08/27/2015,
ALD079474037,AL,264.D,Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Pr,S  ,06/11/2013,08/13/2013,
ALR000022137,AL,279.C,Standards for Used Oil Generators,E  ,06/16/2015,06/17/2015,
ALD983167792,AL,279.C,Standards for Used Oil Generators,S  ,12/01/2015,11/18/2016,
ALD983167792,AL,265.C,Interim Status Standards for Owners and Operators of HW TSDs: Preparedness and P,S  ,12/01/2015,11/18/2016,
ALR000012005,AL,262.A,Standards Applicable to Generators of HW: General,E  ,06/03/2015,01/19/2016,
ALR000021667,AL,279.C,Standards for Used Oil Generators,S  ,10/02/2013,01/09/2014,11/01/2013
ALR000024273,AL,279.C,Standards for Used Oil Generators,S  ,05/07/2015,04/29/2016,08/07/2015
ALR000054155,AL,262.A,Standards Applicable to Generators of HW: General,S  ,05/05/2015,04/29/2016,08/07/2015
ALD004018800,AL,261.A,ID and Listing of HW: General,E  ,09/24/2012,09/24/2012,
ALR000055582,AL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,07/31/2013,08/29/2013,09/02/2013
ALD072095169,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,12/04/2014,12/12/2014,
ALD000622464,AL,263.A,Standards Applicable to Transporters of HW: General,E  ,04/15/2014,08/18/2014,
ALD000622464,AL,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,E  ,04/15/2014,08/18/2014,
ALD982121410,AL,PCR,Violation of a permit condition or requirement,S  ,11/18/2014,04/23/2015,04/23/2015
ALD003297116,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/28/2000,09/26/2000,
ALD004001715,AL,262.A,Standards Applicable to Generators of HW: General,S  ,03/09/2000,01/10/2001,02/09/2001
ALR000013672,AL,262.A,Standards Applicable to Generators of HW: General,S  ,10/06/2000,05/10/2001,
ALD047158266,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,E  ,05/12/2000,03/23/2001,
ALD004009320,AL,262.A,Standards Applicable to Generators of HW: General,S  ,05/02/2002,07/26/2002,
ALN980810000,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/10/1998,09/08/1998,10/02/1998
ALN981006001,AL,262.A,Standards Applicable to Generators of HW: General,S  ,10/06/1998,12/15/1998,12/15/1998
ALN990806001,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/06/1999,08/12/1999,09/06/1999
ALN931229001,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/29/1993,04/21/1994,03/27/1994
ALD983166414,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,02/25/1993,04/28/1993,05/08/1993
ALD983178187,AL,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,01/28/1992,03/30/1992,03/28/1992
ALR000008862,AL,262.A,Standards Applicable to Generators of HW: General,S  ,02/18/2000,04/13/2000,05/03/2000
AL0000891168,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,01/21/1997,02/07/1997,02/21/1997
ALR000012336,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/17/1999,09/27/1999,10/13/1999
ALD980602247,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,12/09/1996,01/16/1997,01/08/1997
ALD982098261,AL,262.A,Standards Applicable to Generators of HW: General,S  ,05/27/1994,08/25/1994,08/29/1994
ALD983187873,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,05/31/1995,07/31/1995,08/02/1995
AL3640090004,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,08/15/1996,06/11/1997,
ALD000826958,AL,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,02/06/1990,02/27/1991,08/26/1990
ALD008163388,AL,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Moni,E  ,06/05/1985,02/04/1986,03/12/1986
ALD008163388,AL,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,E  ,09/23/1985,06/10/1988,
AL0000364661,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,07/01/1996,08/27/1996,07/31/1996
ALD983184433,AL,262.A,Standards Applicable to Generators of HW: General,S  ,12/03/1996,02/25/1997,
ALD983181728,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,11/21/1991,01/10/1992,01/21/1992
ALD004023164,AL,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,09/23/1993,06/16/1994,11/15/1993
ALD004000790,AL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,04/03/1996,05/17/1996,06/07/1996
AL0000262634,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,12/13/1994,03/09/1995,03/15/1995
ALD983178187,AL,262.A,Standards Applicable to Generators of HW: General,S  ,07/15/1994,09/26/1994,09/14/1994
ALR000009944,AL,264.D,Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Pr,S  ,05/25/1999,09/08/1999,09/09/1999
ALR000001784,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,05/06/1998,05/14/1998,06/06/1998
ALD983185729,AL,262.A,Standards Applicable to Generators of HW: General,S  ,05/01/1992,08/12/1992,
ALD983166042,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,03/01/1996,03/06/1996,04/26/1996
ALD983191602,AL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements,S  ,01/27/1999,05/19/1999,
ALD983180555,AL,262.A,Standards Applicable to Generators of HW: General,S  ,08/08/1996,09/06/1996,09/07/1996
ALR000009175,AL,262.A,Standards Applicable to Generators of HW: General,S  ,01/29/1998,03/03/1998,03/01/1998
ALR000007831,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,S  ,12/09/1998,01/07/1999,01/09/1999
ALD983193103,AL,262.A,Standards Applicable to Generators of HW: General,S  ,02/25/1998,03/06/1998,03/26/1998
ALD983192881,AL,262.D,Standards Applicable to Generators of HW: Recordkeeping and Reporting,E  ,08/25/1998,08/25/1998,
ALD983177015,AL,264.G,Standards for Owners and Operators of HW TSDs: Closure and Post-Closure,S  ,11/19/1998,12/18/1998,12/21/1998
