model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Gradient boosting,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.260871308,0.763235942,0.580360721,0.333691811,0.423742867,0.624266467
ADA Boost,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.1,0.260871308,0.754238307,0.575551102,0.220617606,0.318969347,0.581597167
ADA Boost,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.260871308,0.756943609,0.559385438,0.321631587,0.408428035,0.616108061
Gaussian Naive Bayes,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,{},0.1,0.260871308,0.73808665,0.494789579,0.18966047,0.274211462,0.560655525
Gaussian Naive Bayes,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,{},0.15,0.260871308,0.734178991,0.483500334,0.277999693,0.353021509,0.586592298
Decision tree,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.260871308,0.733056791,0.479759519,0.275848825,0.350290201,0.585137296
Gaussian Naive Bayes,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,{},0.05,0.260871308,0.737104725,0.479759519,0.091949608,0.154322181,0.528379099
Decision tree,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.260871308,0.736543626,0.474148297,0.090874174,0.152517244,0.527651597
Decision tree,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.260871308,0.733237145,0.470541082,0.180365648,0.26077299,0.554367836
Decision tree,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.260871308,0.735782133,0.466533066,0.089414657,0.150067685,0.526664274
Decision tree,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.260871308,0.72672438,0.458650635,0.263711784,0.334877823,0.576926925
Decision tree,01/01/2000 - 01/01/2012,01/01/2013 - 01/01/2014,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.260871308,0.729269368,0.450701403,0.172760793,0.249777876,0.549223364
