model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Random forest,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'criterion': 'gini', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.324554083,0.707159909,0.605719462,0.27993063,0.382903885,0.596187837
Logistic regression,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.324554083,0.700871455,0.584756729,0.270242794,0.369652352,0.5890164
Logistic regression,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.324554083,0.700832638,0.584627329,0.270182992,0.369570552,0.588972132
Decision tree,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.324554083,0.674902471,0.494565217,0.076187059,0.132034408,0.51938717
Decision tree,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.324554083,0.673737942,0.491459627,0.151417295,0.231507726,0.538066051
Decision tree,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.324554083,0.667371853,0.473084886,0.218634135,0.299059305,0.550813001
Decision tree,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.324554083,0.664887526,0.464803313,0.214806841,0.293824131,0.547979841
Decision tree,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.324554083,0.663490092,0.440217391,0.135629709,0.20736948,0.526379264
Decision tree,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.324554083,0.666711954,0.41265528,0.063568951,0.110166857,0.510046594
Gaussian Naive Bayes,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,{},0.15,0.324554083,0.631038565,0.351966874,0.162659969,0.222494888,0.509378029
Gaussian Naive Bayes,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,{},0.1,0.324554083,0.639656076,0.321040373,0.098911613,0.151229771,0.49919863
Gaussian Naive Bayes,01/01/2000 - 01/01/2001,01/01/2002 - 01/01/2003,{},0.05,0.324554083,0.651534266,0.260869565,0.040186581,0.069644523,0.492737755
