model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Gradient boosting,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'deviance'}",0.15,0.275278624,0.773286168,0.66188379,0.360659545,0.466903843,0.645339035
Bagging,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.275278624,0.740788885,0.660699062,0.119987614,0.203092243,0.548291023
Random forest,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'criterion': 'entropy', 'n_estimators': 10, 'max_depth': None, 'random_state': 100}",0.15,0.275278624,0.770302811,0.651939196,0.355240749,0.459888761,0.641600498
ADA Boost,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'loss': 'exponential'}",0.15,0.275278624,0.768555416,0.646114505,0.352066883,0.455779927,0.639410783
Bagging,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.275278624,0.753915656,0.64599318,0.234633844,0.344236229,0.592896916
Bagging,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.275278624,0.762759179,0.626793579,0.341538938,0.442150624,0.63214734
Logistic regression,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.275278624,0.74880133,0.620417732,0.225344481,0.330607609,0.586487995
Logistic regression,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.275278624,0.748673472,0.619778346,0.225112246,0.330266894,0.586327772
Logistic regression,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.275278624,0.752573146,0.592839892,0.323037622,0.418199128,0.619382906
Logistic regression,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.275278624,0.752445287,0.592413695,0.322805388,0.417898482,0.619222683
Gaussian Naive Bayes,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,{},0.1,0.275278624,0.732478104,0.538789429,0.195695928,0.287109597,0.566032856
Decision tree,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.275278624,0.732968227,0.5274897,0.287428394,0.372100015,0.594815376
Gaussian Naive Bayes,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,{},0.05,0.275278624,0.726809726,0.520886616,0.094596687,0.160115304,0.530773306
Decision tree,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.275278624,0.727704733,0.514919011,0.187025855,0.274389551,0.560051197
Gaussian Naive Bayes,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,{},0.15,0.275278624,0.727981759,0.510868021,0.278371265,0.360374806,0.588566679
Decision tree,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.275278624,0.727598184,0.50958943,0.277674563,0.359472867,0.58808601
Decision tree,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.275278624,0.72582948,0.505541347,0.183619755,0.269392391,0.557701259
Decision tree,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.275278624,0.724337801,0.496163683,0.090106828,0.152515723,0.527675661
Decision tree,01/01/2000 - 01/01/2016,01/01/2017 - 01/01/2018,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.275278624,0.723655891,0.489343564,0.088868246,0.150419287,0.526821138
