model,train_date,test_date,parameters,threshold,baseline,accuracy,precision,recall,f1,auc
Bagging,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.05,0.6969870199744435,0.7076635953998252,0.6067944836865119,0.10009987792697814,0.17185044058109072,0.5359499727358632
Logistic regression,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'C': 1.0, 'penalty': 'l1'}",0.1,0.6969870199744435,0.7166756338691237,0.5984530015133681,0.1974808567306625,0.29696691559931576,0.5699374177994028
Logistic regression,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'C': 1.0, 'penalty': 'l2'}",0.1,0.6969870199744435,0.7166420068599099,0.5982848495039516,0.19742536899345245,0.2968834744878802,0.5698976123685842
Logistic regression,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'C': 1.0, 'penalty': 'l2'}",0.15,0.6969870199744435,0.7211143990853454,0.5804282031162425,0.2873155032737765,0.38436699699365323,0.5985113242716158
Logistic regression,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'C': 1.0, 'penalty': 'l1'}",0.15,0.6969870199744435,0.7211143990853454,0.5804282031162425,0.2873155032737765,0.38436699699365323,0.5985113242716158
Bagging,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.1,0.6969870199744435,0.7104882641737844,0.5675130317807298,0.18727111308400843,0.28161375109516457,0.5626132185287847
Bagging,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'n_estimators': 10, 'max_samples': 1.0, 'max_features': 1.0, 'random_state': 100, 'base_estimator': None}",0.15,0.6969870199744435,0.7141199811688749,0.5571124313417778,0.27577405393408055,0.36892699402442186,0.590231794661352
Decision tree,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.1,0.6969870199744435,0.6933048624655324,0.4815873549688919,0.15891687936965931,0.2389753431515708,0.5422726433804924
Decision tree,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.15,0.6969870199744435,0.6892696213598762,0.4742741845084632,0.23476861613583397,0.31407044501354714,0.5608155812864243
Decision tree,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.15,0.6969870199744435,0.6890006052861658,0.4733774240555991,0.23432471423815338,0.31347659874549977,0.5604971378398758
Decision tree,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.05,0.6969870199744435,0.6937756405945256,0.4678775647494114,0.07718344245921652,0.13250773993808052,0.5195103298077913
Decision tree,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.1,0.6969870199744435,0.6884962001479589,0.4575416176223306,0.15098213294861834,0.22704326421627938,0.5365804667734358
Decision tree,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.05,0.6969870199744435,0.6922624251799046,0.4527413387151026,0.07468649428476307,0.12822100500119077,0.5177190854209553
Gaussian Naive Bayes,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,{},0.05,0.6969870199744435,0.6878236599636828,0.40834174234779685,0.06736211297303296,0.11564658251964753,0.5124647685529032
Gaussian Naive Bayes,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,{},0.15,0.6969870199744435,0.6596778532517318,0.37563053469342,0.1859394073909666,0.2487473555283376,0.5257868021660772
Gaussian Naive Bayes,01/01/2000 - 01/01/2008,01/01/2009 - 01/01/2010,{},0.1,0.6969870199744435,0.6717163225502724,0.3736337649234908,0.12329375208079014,0.1854061496099128,0.5167175567949664
